ls_states,ground_truth,obs_flow,obs_flow_scaled
"[0, 10, 13, 17, 19]",140,44,140
"[1, 34, 13, 17, 19]",65,17,54
"[1, 35, 19]",845,237,753
"[0, 10, 13, 18, 30]",300,85,231
"[0, 10, 14, 28, 30]",445,169,459
"[0, 11, 24, 28, 30]",110,58,157
"[0, 11, 25, 36]",945,357,969
"[1, 34, 13, 18, 30]",140,41,111
"[1, 34, 14, 28, 30]",205,97,263
"[0, 10, 13, 17]",115,49,99
"[1, 34, 13, 17]",45,0,0
"[1, 35]",1440,773,1558
"[2, 20, 16, 12, 8]",150,55,299
"[2, 20, 16, 15, 33]",75,21,114
"[2, 21, 33]",825,270,1468
"[2, 20, 16, 12, 9]",40,11,44
"[2, 20, 18, 32, 27, 22]",5,0,0
"[3, 32, 27, 22]",1550,390,1550
"[2, 20, 16, 15]",20,5,36
"[2, 21]",230,92,668
"[4, 31, 16, 12, 8]",275,114,235
"[4, 31, 16, 15, 33]",140,41,84
"[4, 32, 26, 12, 8]",405,179,369
"[4, 32, 26, 15, 33]",205,78,161
"[4, 32, 27, 23, 8]",165,76,157
"[5, 37, 23, 8]",960,402,828
"[4, 32, 27, 22]",65,22,96
"[5, 37, 22]",485,142,617
"[4, 31, 16, 15]",75,22,176
"[4, 32, 26, 15]",125,0,0
"[6, 10, 13, 17, 19]",45,23,59
"[7, 24, 28, 29]",1550,415,1061
"[7, 24, 28, 31, 17, 19]",5,0,0
"[7, 24, 28, 30]",40,12,60
"[7, 25, 36]",510,279,1395
"[6, 10, 13, 17]",995,538,1053
"[7, 24, 28, 31, 17]",55,28,55
"[20, 16, 12, 8]",125,47,254
"[20, 16, 15, 33]",55,18,97
"[21, 33]",1420,579,3125
"[20, 16, 12, 9]",990,467,609
"[20, 18, 32, 27, 22]",60,31,40
"[20, 16, 15]",10,5,36
[21],290,128,930
"[34, 13, 17, 19]",20,8,42
"[35, 19]",230,57,302
"[34, 13, 18, 30]",75,33,197
"[34, 14, 28, 30]",125,68,407
"[34, 13, 17]",10,0,0
[35],290,128,640
